Period,Total,Price Band,percentage
2021Q1 ,100,"$299,999 - $399,999",28
2021Q2 ,100,"$299,999 - $399,999",30
2021Q3 ,100,"$299,999 - $399,999",24
2021Q4 ,100,"$299,999 - $399,999",28
2022Q1 ,100,"$299,999 - $399,999",31
2022Q2 ,100,"$299,999 - $399,999",28
2022Q3 ,100,"$299,999 - $399,999",26
2022Q4 ,100,"$299,999 - $399,999",26
2023Q1 ,100,"$299,999 - $399,999",30
2023Q2 ,100,"$299,999 - $399,999",30
2023Q3 ,100,"$299,999 - $399,999",27
2002Q1 ,100,"$399,999 - $499,999",4
2002Q2 ,100,"$399,999 - $499,999",4
2002Q3 ,100,"$399,999 - $499,999",5
2002Q4 ,100,"$399,999 - $499,999",6
2003Q1 ,100,"$399,999 - $499,999",4
2003Q2 ,100,"$399,999 - $499,999",5
2003Q3 ,100,"$399,999 - $499,999",5
2003Q4 ,100,"$399,999 - $499,999",6
2004Q1 ,100,"$399,999 - $499,999",7
2004Q2 ,100,"$399,999 - $499,999",7
2004Q3 ,100,"$399,999 - $499,999",8
2004Q4 ,100,"$399,999 - $499,999",8
2005Q1 ,100,"$399,999 - $499,999",9
2005Q2 ,100,"$399,999 - $499,999",8
2005Q3 ,100,"$399,999 - $499,999",8
2005Q4 ,100,"$399,999 - $499,999",8
2006Q1 ,100,"$399,999 - $499,999",8
2006Q2 ,100,"$399,999 - $499,999",7
2006Q3 ,100,"$399,999 - $499,999",8
2006Q4 ,100,"$399,999 - $499,999",8
2007Q1 ,100,"$399,999 - $499,999",9
2007Q2 ,100,"$399,999 - $499,999",8
2007Q3 ,100,"$399,999 - $499,999",8
2007Q4 ,100,"$399,999 - $499,999",9
2008Q1 ,100,"$399,999 - $499,999",7
2008Q2 ,100,"$399,999 - $499,999",7
2008Q3 ,100,"$399,999 - $499,999",8
2008Q4 ,100,"$399,999 - $499,999",7
2009Q1 ,100,"$399,999 - $499,999",6
2009Q2 ,100,"$399,999 - $499,999",7
2009Q3 ,100,"$399,999 - $499,999",6
2009Q4 ,100,"$399,999 - $499,999",5
2010Q1 ,100,"$399,999 - $499,999",6
2010Q2 ,100,"$399,999 - $499,999",6
2010Q3 ,100,"$399,999 - $499,999",6
2010Q4 ,100,"$399,999 - $499,999",7
2011Q1 ,100,"$399,999 - $499,999",7
2011Q2 ,100,"$399,999 - $499,999",7
2011Q3 ,100,"$399,999 - $499,999",5
2011Q4 ,100,"$399,999 - $499,999",6
2012Q1 ,100,"$399,999 - $499,999",8
2012Q2 ,100,"$399,999 - $499,999",8
2012Q3 ,100,"$399,999 - $499,999",10
2012Q4 ,100,"$399,999 - $499,999",9
2013Q1 ,100,"$399,999 - $499,999",8
